Id,Category
2,Politics
10,Business
25,Technology
28,Football
29,Business
33,Business
34,Business
37,Politics
39,Business
40,Politics
44,Football
56,Business
66,Business
75,Business
77,Business
85,Business
89,Business
92,Business
107,Business
112,Business
115,Business
139,Football
140,Business
152,Business
156,Football
162,Film
167,Football
170,Business
171,Film
173,Film
182,Business
186,Football
193,Technology
196,Politics
210,Business
218,Football
224,Business
227,Politics
230,Business
232,Film
247,Football
262,Football
273,Film
276,Football
279,Football
284,Business
286,Film
287,Business
305,Business
316,Business
337,Film
342,Business
349,Business
357,Film
363,Film
367,Business
368,Business
374,Film
377,Politics
385,Film
395,Film
401,Film
417,Technology
422,Technology
427,Business
433,Business
438,Business
469,Business
470,Film
473,Film
481,Business
486,Politics
490,Technology
495,Politics
510,Business
519,Politics
523,Business
533,Business
536,Business
538,Film
545,Politics
550,Business
551,Business
557,Business
558,Business
561,Film
565,Business
575,Politics
583,Business
589,Business
592,Business
593,Business
594,Business
598,Politics
599,Politics
607,Technology
614,Business
626,Business
627,Film
634,Film
636,Business
639,Business
641,Technology
643,Business
650,Business
655,Business
662,Football
666,Business
667,Football
673,Technology
678,Business
693,Technology
694,Business
696,Technology
697,Film
699,Business
704,Business
706,Business
707,Technology
709,Business
717,Business
724,Business
728,Business
732,Business
733,Business
741,Business
746,Business
747,Business
749,Business
750,Film
754,Business
756,Business
768,Business
769,Business
774,Business
775,Business
776,Business
789,Business
802,Business
804,Football
809,Technology
816,Technology
825,Technology
827,Business
830,Football
837,Business
838,Business
839,Business
849,Football
854,Politics
865,Business
871,Technology
873,Technology
884,Business
886,Business
893,Business
896,Politics
898,Film
907,Politics
909,Technology
910,Business
911,Business
914,Film
916,Film
922,Business
925,Politics
926,Football
935,Business
936,Business
946,Business
952,Business
954,Football
959,Football
960,Business
961,Business
964,Business
965,Politics
968,Business
971,Football
972,Business
982,Business
983,Football
985,Business
987,Politics
990,Politics
994,Business
1010,Film
1014,Business
1024,Football
1026,Business
1032,Business
1047,Business
1050,Politics
1059,Politics
1061,Football
1062,Politics
1069,Football
1072,Politics
1074,Business
1081,Business
1088,Business
1090,Business
1093,Business
1097,Technology
1100,Politics
1102,Business
1105,Business
1142,Football
1143,Business
1155,Football
1162,Business
1163,Business
1169,Football
1174,Business
1177,Film
1178,Business
1184,Business
1185,Business
1192,Business
1208,Politics
1209,Politics
1215,Business
1217,Business
1219,Business
1221,Business
1223,Politics
1225,Politics
1229,Business
1230,Politics
1239,Film
1251,Business
1265,Politics
1269,Politics
1282,Football
1287,Business
1295,Football
1301,Business
1302,Technology
1306,Film
1310,Technology
1314,Business
1322,Football
1328,Business
1331,Business
1332,Football
1337,Business
1345,Business
1349,Politics
1353,Politics
1356,Film
1359,Technology
1368,Politics
1371,Business
1377,Business
1381,Business
1387,Business
1389,Technology
1404,Business
1411,Business
1413,Technology
1425,Technology
1428,Business
1429,Politics
1430,Business
1433,Business
1437,Business
1438,Business
1446,Politics
1447,Technology
1454,Football
1461,Business
1462,Business
1463,Technology
1466,Technology
1469,Business
1475,Technology
1485,Technology
1488,Business
1493,Technology
1496,Film
1497,Business
1500,Business
1502,Technology
1508,Business
1509,Politics
1518,Film
1522,Business
1524,Business
1527,Business
1529,Business
1531,Business
1533,Football
1537,Film
1548,Technology
1555,Film
1556,Business
1558,Technology
1568,Film
1570,Football
1571,Football
1572,Business
1583,Business
1589,Film
1597,Business
1602,Business
1606,Film
1607,Film
1613,Business
1624,Football
1637,Film
1638,Football
1639,Film
1652,Film
1654,Film
1663,Technology
1675,Business
1695,Business
1703,Business
1704,Film
1705,Politics
1709,Business
1714,Business
1715,Business
1725,Business
1726,Film
1741,Film
1749,Football
1755,Business
1760,Business
1761,Football
1768,Politics
1772,Football
1775,Politics
1778,Football
1779,Business
1781,Business
1784,Football
1789,Business
1797,Business
1803,Film
1805,Politics
1812,Business
1819,Business
1833,Business
1843,Politics
1844,Politics
1845,Politics
1860,Technology
1864,Business
1873,Film
1878,Business
1879,Film
1884,Football
1885,Football
1889,Business
1895,Business
1907,Film
1908,Business
1910,Business
1915,Film
1917,Business
